Title,Domestic,International,Budget,Distributor,MPAA-Rating,Runtime,Genres
From Prada to Nada (2011),3033623,1025071,,Lionsgate,PG-13,107,Action;Comedy;Drama;Family;Romance
Martha Marcy May Marlene (2011),2990625,1787814,,Fox Searchlight Pictures,R,102,Drama;Mystery;Thriller
Don 2 (2011),3680306,3233212,,Reliance Big Pictures,,148,Action;Crime;Thriller
Everything Must Go (2011),2711643,108847,5000000.0,Roadside Attractions,R,97,Drama
The Way Back (2011),2701859,21470342,30000000.0,Newmarket Films,PG-13,133,Adventure;Drama;History
Bucky Larson: Born to Be a Star (2011),2529395,999,10000000.0,Sony Pictures Entertainment (SPE),R,97,Comedy
The Grace Card (2011),2430735,2430735,,The Samuel Goldwyn Company,PG-13,101,Drama
The Lorax (2012),214030500,134809816,70000000.0,Universal Pictures,PG,86,Adventure;Animation;Comedy;Drama;Family;Fantasy;Musical
Men in Black 3 (2012),179020854,445005922,225000000.0,Sony Pictures Entertainment (SPE),PG-13,106,Action;Adventure;Comedy;Sci-Fi
Wreck-It Ralph (2012),189422889,281800000,165000000.0,Walt Disney Studios Motion Pictures,PG,101,Adventure;Animation;Comedy;Family;Fantasy
Ice Age: Continental Drift (2012),161321843,715922939,95000000.0,Twentieth Century Fox,PG,88,Adventure;Animation;Comedy;Family;Fantasy
Snow White and the Huntsman (2012),155332381,241260448,170000000.0,Universal Pictures,PG-13,127,Action;Adventure;Drama;Fantasy
Hotel Transylvania (2012),148313048,210062555,85000000.0,Sony Pictures Entertainment (SPE),PG,91,Animation;Comedy;Family;Fantasy;Horror
Taken 2 (2012),139854287,236287019,45000000.0,Twentieth Century Fox,PG-13,92,Action;Crime;Thriller
21 Jump Street (2012),138447667,63137661,42000000.0,Sony Pictures Entertainment (SPE),R,109,Action;Comedy;Crime
Lincoln (2012),182207973,93085477,65000000.0,Walt Disney Studios Motion Pictures,PG-13,150,Biography;Drama;History;War
Prometheus (2012),126477084,276877385,130000000.0,Twentieth Century Fox,R,124,Adventure;Mystery;Sci-Fi
Safe House (2012),126373434,81702771,85000000.0,Universal Pictures,R,115,Action;Thriller
The Vow (2012),125014030,71100540,30000000.0,Screen Gems,PG-13,104,Drama;Romance
